CID,IUPACName,IsomericSMILES,MolecularFormula,MolecularWeight,HBondDonorCount,HBondAcceptorCount,Synonym
493485,"3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one",CCCCCC1=CC=C(C=C1)C2=CC3=CN(C(=O)N=C3O2)[C@H]4C[C@@H]([C@H](O4)CO)O,C22H26N2O5,398.5,2,5,"['319425-66-6', 'CF-1743', 'Cf1743', 'UNII-5XGI48Q2DH', '5XGI48Q2DH', 'Furo[2,3-d]pyrimidin-2(3H)-one,3-(2-deoxy-b-D-erythro-pentofuranosyl)-6-(4-pentylphenyl)-', '3-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', 'MFGSDSRTGUVZQG-DFQSSKMNSA-N', 'CHEMBL344738', 'SCHEMBL17709503', 'DTXSID60185781', 'BDBM50481116', 'AKOS040748112', '3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one', 'Q5427311', '(2R,4S,5R)(4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', '3-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', '3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one', '6-(4-Pentyl-phenyl)-3-((2R,4S,5R)-4-hydroxy-5-hydroxymethyl-tetrahydro-furan-2-yl)-3H-furo[2,3-d]pyrimidin-2-one', 'FURO(2,3-D)PYRIMIDIN-2(3H)-ONE, 3-(2-DEOXY-.BETA.-D-ERYTHRO-PENTOFURANOSYL)-6-(4-PENTYLPHENYL)-']"
3011370,"2-[2,6-diamino-5-(cyanomethyl)pyrimidin-4-yl]oxyethoxymethylphosphonic acid",C(COC1=NC(=NC(=C1CC#N)N)N)OCP(=O)(O)O,C9H14N5O5P,303.21,4,10,"['CHEMBL146699', 'SCHEMBL1029205', '2-[2,6-diamino-5-(cyanomethyl)pyrimidin-4-yl]oxyethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[(2,6-diamino-5-(cyanomethyl)-4-pyrimidinyl)oxy]ethoxy]methyl]-']"
493055,2-[2-amino-6-[2-(phosphonomethoxy)ethoxy]pyrimidin-4-yl]oxyethoxymethylphosphonic acid,C1=C(N=C(N=C1OCCOCP(=O)(O)O)N)OCCOCP(=O)(O)O,C10H19N3O10P2,403.22,5,13,"['CHEMBL56641', 'SCHEMBL6396464', '2-[2-amino-6-[2-(phosphonomethoxy)ethoxy]pyrimidin-4-yl]oxyethoxymethylphosphonic acid', 'H-3444', 'Phosphonic acid, [[2-[[2-amino-6-[2-(phosphonomethoxy)ethoxy]-4-pyrimidinyl]oxy]ethoxy]methyl]-']"
493056,2-[2-amino-6-oxo-4-[2-(phosphonomethoxy)ethoxy]pyrimidin-1-yl]ethoxymethylphosphonic acid,C1=C(N=C(N(C1=O)CCOCP(=O)(O)O)N)OCCOCP(=O)(O)O,C10H19N3O10P2,403.22,5,11,"['CHEMBL57384', 'SCHEMBL6396734', '2-[2-amino-6-oxo-4-[2-(phosphonomethoxy)ethoxy]pyrimidin-1-yl]ethoxymethylphosphonic acid', 'H-3445', 'Phosphonic acid, [[2-[[2-amino-1,6-dihydro-6-oxo-1-[2-(phosphonomethoxy)ethyl]-4-pyrimidinyl]oxy]ethoxy]methyl]-']"
493057,"6-[2-[di(propan-2-yloxy)phosphorylmethoxy]ethylsulfanyl]pyrimidine-2,4-diamine",CC(C)OP(=O)(COCCSC1=NC(=NC(=C1)N)N)OC(C)C,C13H25N4O4PS,364.40,2,9,"['CHEMBL299704', '6-[2-(diisopropoxyphosphorylmethoxy)ethylsulfanyl]pyrimidine-2,4-diamine', 'Phosphonic acid, [[2-[(2,6-diamino-4-pyrimidinyl)thio]ethoxy]methyl]-, bis(1-methylethyl) ester']"
11255143,"2-(2,6-diamino-5-prop-2-enylpyrimidin-4-yl)oxyethoxymethylphosphonic acid",C=CCC1=C(N=C(N=C1OCCOCP(=O)(O)O)N)N,C10H17N4O5P,304.24,4,9,"['CHEMBL149116', 'SCHEMBL1032063']"
3011381,"2-(2,6-diamino-5-bromopyrimidin-4-yl)oxyethoxymethylphosphonic acid",C(COC1=NC(=NC(=C1Br)N)N)OCP(=O)(O)O,C7H12BrN4O5P,343.07,4,9,"['5-Bromo-PMEO-DAPy', '5-Bromo-PMEO-DAPym', 'PMEO-5-Br-DAPy', 'CHEMBL147814', 'SCHEMBL6395888', '2-(2,6-diamino-5-bromo-pyrimidin-4-yl)oxyethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[(2,6-diamino-5-bromo-4-pyrimidinyl)oxy]ethoxy]methyl]-']"
3011380,"2-[2,4-diamino-6-[2-(phosphonomethoxy)ethoxy]pyrimidin-5-yl]acetic acid",C(COC1=NC(=NC(=C1CC(=O)O)N)N)OCP(=O)(O)O,C9H15N4O7P,322.21,5,11,"['CHEMBL150124', 'SCHEMBL1030248', '2-[2,4-diamino-6-[2-(phosphonomethoxy)ethoxy]pyrimidin-5-yl]acetic acid', '5-Pyrimidineacetic acid, 2,4-diamino-6-[2-(phosphonomethoxy)ethoxy]-']"
3011368,"2-(2,6-diamino-5-benzylpyrimidin-4-yl)oxyethoxymethylphosphonic acid",C1=CC=C(C=C1)CC2=C(N=C(N=C2OCCOCP(=O)(O)O)N)N,C14H19N4O5P,354.30,4,9,"['CHEMBL146197', 'SCHEMBL1033380', '2-(2,6-diamino-5-benzyl-pyrimidin-4-yl)oxyethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[(2,6-diamino-5-benzyl-4-pyrimidinyl)oxy]ethoxy]methyl]-']"
3011376,"2-(2,6-diamino-5-phenylpyrimidin-4-yl)oxyethoxymethylphosphonic acid",C1=CC=C(C=C1)C2=C(N=C(N=C2OCCOCP(=O)(O)O)N)N,C13H17N4O5P,340.27,4,9,"['CHEMBL150057', 'SCHEMBL1034158', '2-(2,6-diamino-5-phenyl-pyrimidin-4-yl)oxyethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[(2,6-diamino-5-phenyl-4-pyrimidinyl)oxy]ethoxy]methyl]-']"
3011379,"2-[2,4-diamino-6-oxo-1-[2-(phosphonomethoxy)ethyl]pyrimidin-5-yl]acetic acid",C(COCP(=O)(O)O)N1C(=O)C(=C(N=C1N)N)CC(=O)O,C9H15N4O7P,322.21,5,9,"['CHEMBL149197', '2-[2,4-diamino-6-oxo-1-[2-(phosphonomethoxy)ethyl]pyrimidin-5-yl]acetic acid', '5-Pyrimidineacetic acid, 2,4-diamino-1,6-dihydro-6-oxo-1-[2-(phosphonomethoxy)ethyl]-']"
3011367,"2-(2,4-diamino-5-benzyl-6-oxopyrimidin-1-yl)ethoxymethylphosphonic acid",C1=CC=C(C=C1)CC2=C(N=C(N(C2=O)CCOCP(=O)(O)O)N)N,C14H19N4O5P,354.30,4,7,"['CHEMBL149664', '2-(2,4-diamino-5-benzyl-6-oxo-pyrimidin-1-yl)ethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[2,4-diamino-6-oxo-5-(phenylmethyl)-1(6H)-pyrimidinyl]ethoxy]methyl]-']"
3011375,"2-(2,4-diamino-6-oxo-5-phenylpyrimidin-1-yl)ethoxymethylphosphonic acid",C1=CC=C(C=C1)C2=C(N=C(N(C2=O)CCOCP(=O)(O)O)N)N,C13H17N4O5P,340.27,4,7,"['CHEMBL148304', '2-(2,4-diamino-6-oxo-5-phenyl-pyrimidin-1-yl)ethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[2,4-diamino-6-oxo-5-phenyl-1(6H)-pyrimidinyl]ethoxy]methyl]-']"
11460885,"2-(2,4-diamino-6-oxo-5-prop-2-enylpyrimidin-1-yl)ethoxymethylphosphonic acid",C=CCC1=C(N=C(N(C1=O)CCOCP(=O)(O)O)N)N,C10H17N4O5P,304.24,4,7,['CHEMBL148716']
3011371,"2-[2,4-diamino-5-(2-ethoxy-2-oxoethyl)-6-oxopyrimidin-1-yl]ethoxymethylphosphonic acid",CCOC(=O)CC1=C(N=C(N(C1=O)CCOCP(=O)(O)O)N)N,C11H19N4O7P,350.27,4,9,"['CHEMBL146182', '2-[2,4-diamino-5-(2-ethoxy-2-oxo-ethyl)-6-oxo-pyrimidin-1-yl]ethoxymethylphosphonic acid', '5-Pyrimidineacetic acid, 2,4-diamino-1,6-dihydro-6-oxo-1-[2-(phosphonomethoxy)ethyl]-, ethyl ester']"
493042,6-[2-[di(propan-2-yloxy)phosphorylmethoxy]ethoxy]pyrimidin-4-amine,CC(C)OP(=O)(COCCOC1=NC=NC(=C1)N)OC(C)C,C13H24N3O5P,333.32,1,8,"['CHEMBL57452', '6-[2-(diisopropoxyphosphorylmethoxy)ethoxy]pyrimidin-4-amine', 'Phosphonic acid, [[2-[(6-amino-4-pyrimidinyl)oxy]ethoxy]methyl]-, bis(1-methylethyl) ester']"
493050,2-[2-amino-6-(cyclopropylamino)pyrimidin-4-yl]oxyethoxymethylphosphonic acid,C1CC1NC2=CC(=NC(=N2)N)OCCOCP(=O)(O)O,C10H17N4O5P,304.24,4,9,"['CHEMBL59520', 'SCHEMBL6395733', '2-[2-amino-6-(cyclopropylamino)pyrimidin-4-yl]oxyethoxymethylphosphonic acid', 'H-3435', 'Phosphonic acid, [[2-[[2-amino-6-(cyclopropylamino)-4-pyrimidinyl]oxy]ethoxy]methyl]-']"
493049,2-[2-amino-4-(cyclopropylamino)-6-oxopyrimidin-1-yl]ethoxymethylphosphonic acid,C1CC1NC2=CC(=O)N(C(=N2)N)CCOCP(=O)(O)O,C10H17N4O5P,304.24,4,7,"['CHEMBL301240', 'SCHEMBL6396626', '2-[2-amino-4-(cyclopropylamino)-6-oxo-pyrimidin-1-yl]ethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[2-amino-4-(cyclopropylamino)-6-oxo-1(6H)-pyrimidinyl]ethoxy]methyl]-']"
493053,2-[2-amino-6-(dimethylamino)pyrimidin-4-yl]oxyethoxymethylphosphonic acid,CN(C)C1=CC(=NC(=N1)N)OCCOCP(=O)(O)O,C9H17N4O5P,292.23,3,9,"['CHEMBL58026', 'SCHEMBL6395516', '2-[2-amino-6-(dimethylamino)pyrimidin-4-yl]oxyethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[[2-amino-6-(dimethylamino)-4-pyrimidinyl]oxy]ethoxy]methyl]-']"
135490839,2-[(4-amino-6-oxo-1H-pyrimidin-2-yl)sulfanyl]ethoxymethylphosphonic acid,C1=C(N=C(NC1=O)SCCOCP(=O)(O)O)N,C7H12N3O5PS,281.23,4,8,"['CHEMBL59144', '2-(4-amino-6-hydroxy-pyrimidin-2-yl)sulfanylethoxymethylphosphonic acid', 'Phosphonic acid, [[2-[(4-amino-6-hydroxy-2-pyrimidinyl)thio]ethoxy]methyl]-']"
493485,"3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one",CCCCCC1=CC=C(C=C1)C2=CC3=CN(C(=O)N=C3O2)[C@H]4C[C@@H]([C@H](O4)CO)O,C22H26N2O5,398.5,2,5,"['319425-66-6', 'CF-1743', 'Cf1743', 'UNII-5XGI48Q2DH', '5XGI48Q2DH', 'Furo[2,3-d]pyrimidin-2(3H)-one,3-(2-deoxy-b-D-erythro-pentofuranosyl)-6-(4-pentylphenyl)-', '3-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', 'MFGSDSRTGUVZQG-DFQSSKMNSA-N', 'CHEMBL344738', 'SCHEMBL17709503', 'DTXSID60185781', 'BDBM50481116', 'AKOS040748112', '3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one', 'Q5427311', '(2R,4S,5R)(4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', '3-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2(3H)-one', '3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-6-(4-pentylphenyl)furo[2,3-d]pyrimidin-2-one', '6-(4-Pentyl-phenyl)-3-((2R,4S,5R)-4-hydroxy-5-hydroxymethyl-tetrahydro-furan-2-yl)-3H-furo[2,3-d]pyrimidin-2-one', 'FURO(2,3-D)PYRIMIDIN-2(3H)-ONE, 3-(2-DEOXY-.BETA.-D-ERYTHRO-PENTOFURANOSYL)-6-(4-PENTYLPHENYL)-']"
493041,2-(4-amino-6-oxopyrimidin-1-yl)ethoxymethylphosphonic acid,C1=C(N=CN(C1=O)CCOCP(=O)(O)O)N,C7H12N3O5P,249.16,3,7,"['CHEMBL58370', 'SCHEMBL6401736', '2-(4-amino-6-oxo-pyrimidin-1-yl)ethoxymethylphosphonic acid', 'Phosphonic acid, [[2-(4-amino-6-oxo-1(6H)-pyrimidinyl)ethoxy]methyl]-']"
