baid,acvalue,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,activity,protacxn,acname,acqualifier,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxid,cellids,targettaxid,anatomyid,anatomy
101853248,0.0001,258989,103389810,493485,NULL,16392824,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella-Zoster virus YS strain,Unii-5xgi48Q2DH,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446802,0.00011,392537,103391803,3011370,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-[2,6-Diamino-5-(cyanomethyl)pyrimidin-4-yl]oxyethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446242,0.0001241,392537,103246089,493055,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,2-[2-Amino-6-[2-(phosphonomethoxy)ethoxy]pyrimidin-4-yl]oxyethoxymethylphosphonic acid,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446800,0.0001241,392537,103246048,493056,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,2-[2-Amino-6-oxo-4-[2-(phosphonomethoxy)ethoxy]pyrimidin-1-yl]ethoxymethylphosphonic acid,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101445787,0.0001374,392537,103246087,493057,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"6-[2-(Diisopropoxyphosphorylmethoxy)ethylsulfanyl]pyrimidine-2,4-diamine",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101445788,0.00015,392537,103391487,11255143,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-(2,6-Diamino-5-prop-2-enylpyrimidin-4-yl)oxyethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101445791,0.00015,392537,103392326,3011381,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-(2,6-Diamino-5-bromo-pyrimidin-4-yl)oxyethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101445792,0.00015,392537,103391697,3011380,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-[2,4-Diamino-6-[2-(phosphonomethoxy)ethoxy]pyrimidin-5-yl]acetic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446239,0.00015,392537,103391766,3011368,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-(2,6-Diamino-5-benzyl-pyrimidin-4-yl)oxyethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446245,0.00015,392537,103391775,3011376,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-(2,6-Diamino-5-phenyl-pyrimidin-4-yl)oxyethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446251,0.00015,392537,103391698,3011379,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-[2,4-Diamino-6-oxo-1-[2-(phosphonomethoxy)ethyl]pyrimidin-5-yl]acetic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446253,0.00015,392537,103391486,3011367,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-(2,4-Diamino-5-benzyl-6-oxo-pyrimidin-1-yl)ethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446254,0.00015,392537,103391777,3011375,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-(2,4-Diamino-6-oxo-5-phenyl-pyrimidin-1-yl)ethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446258,0.00015,392537,103392290,11460885,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-(2,4-Diamino-6-oxo-5-prop-2-enylpyrimidin-1-yl)ethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446803,0.00015,392537,103391925,3011371,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-[2,4-Diamino-5-(2-ethoxy-2-oxo-ethyl)-6-oxo-pyrimidin-1-yl]ethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101445790,0.0001501,392537,103245389,493042,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,6-[2-(Diisopropoxyphosphorylmethoxy)ethoxy]pyrimidin-4-amine,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101445785,0.0001645,392537,103246612,493050,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,2-[2-Amino-6-(cyclopropylamino)pyrimidin-4-yl]oxyethoxymethylphosphonic acid,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446250,0.0001645,392537,103246587,493049,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,2-[2-Amino-4-(cyclopropylamino)-6-oxo-pyrimidin-1-yl]ethoxymethylphosphonic acid,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446259,0.0001712,392537,103246572,493053,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,2-[2-Amino-6-(dimethylamino)pyrimidin-4-yl]oxyethoxymethylphosphonic acid,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101446256,0.0001779,392537,103246001,135490839,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,2-(4-Amino-6-hydroxy-pyrimidin-2-yl)sulfanylethoxymethylphosphonic acid,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
373963303,0.0002,1782698,103389810,493485,NULL,33894564,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella zoster virus assessed as inhibition of viral replication,Unii-5xgi48Q2DH,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101445782,0.0002008,392537,103245943,493041,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,2-(4-Amino-6-oxo-pyrimidin-1-yl)ethoxymethylphosphonic acid,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
100345451,0.0003,217659,103389810,493485,NULL,11150169,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,"Evaluated for the anti-VZV activity, the concentration of compounds in uM required to reduce VZV OKA Plaque formation after 5 days in HEL cell cultures compared to untreated controls.",Unii-5xgi48Q2DH,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
100709409,0.0003,216467,103389810,493485,NULL,15109620,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella-Zoster virus (YS),Unii-5xgi48Q2DH,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101437632,0.0003,415399,103633014,44582865,NULL,19328697,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella Zoster virus Oka infected in HEL cells assessed as reduction in viral plaque formation after 5 days,"3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-[4-[(E)-pent-1-enyl]phenyl]furo[2,3-d]pyrimidin-2-one",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
101736719,0.0003,304882,103389810,493485,NULL,18052321,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against TK+ VZV OKA in HEL cells after 5 days,Unii-5xgi48Q2DH,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
101445784,0.0003247,392537,103246542,135442218,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,2-Amino-6-(dimethylamino)pyrimidin-4-ol,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
100345454,0.0005,217659,103389785,493486,NULL,11150169,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,"Evaluated for the anti-VZV activity, the concentration of compounds in uM required to reduce VZV OKA Plaque formation after 5 days in HEL cell cultures compared to untreated controls.","6-(4-hexylphenyl)-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]furo[2,3-d]pyrimidin-2-one",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
100346741,0.0005,217670,103389990,493484,NULL,11150169,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,"Evaluated for the anti-VZV activity, the concentration of compounds in uM required to reduce VZV TS plaque formation after 5 days in HEL cell cultures compared to untreated controls.","6-(4-butylphenyl)-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]furo[2,3-d]pyrimidin-2-one",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
101437403,0.0005,415400,103389990,493484,NULL,19328697,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella Zoster virus YS infected in HEL cells assessed as reduction in viral plaque formation after 5 days,"6-(4-butylphenyl)-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]furo[2,3-d]pyrimidin-2-one",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
101437408,0.0005,415400,103389810,493485,NULL,19328697,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella Zoster virus YS infected in HEL cells assessed as reduction in viral plaque formation after 5 days,Unii-5xgi48Q2DH,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
363648560,0.00054,1410507,404716552,145992929,NULL,29670705,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against thymidine kinase deficient Varicella-Zoster virus 07-1 assessed as inhibition of plaque formation measured after 5 days post-infection,"pentyl (2S)-2-[[5-[(6-aminopurin-9-yl)methyl]-2-oxo-1,4,2lambda5-dioxaphosphinan-2-yl]amino]-3-methylpentanoate",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
363648553,0.00059,1410507,404700621,145982337,NULL,29670705,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against thymidine kinase deficient Varicella-Zoster virus 07-1 assessed as inhibition of plaque formation measured after 5 days post-infection,"pentyl (2S)-2-[[5-[(6-aminopurin-9-yl)methyl]-2-oxo-1,4,2lambda5-dioxaphosphinan-2-yl]amino]-4-methylpentanoate",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101437625,0.0006,415399,103389810,493485,NULL,19328697,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella Zoster virus Oka infected in HEL cells assessed as reduction in viral plaque formation after 5 days,Unii-5xgi48Q2DH,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
101437633,0.0006,415399,103633011,44582863,NULL,19328697,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella Zoster virus Oka infected in HEL cells assessed as reduction in viral plaque formation after 5 days,"6-[4-[(E)-but-1-enyl]phenyl]-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]furo[2,3-d]pyrimidin-2-one",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
101437407,0.0008,415400,103633014,44582865,NULL,19328697,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella Zoster virus YS infected in HEL cells assessed as reduction in viral plaque formation after 5 days,"3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-[4-[(E)-pent-1-enyl]phenyl]furo[2,3-d]pyrimidin-2-one",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
363648556,0.00095,1410507,404717653,145993616,NULL,29670705,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against thymidine kinase deficient Varicella-Zoster virus 07-1 assessed as inhibition of plaque formation measured after 5 days post-infection,"dipentyl (2S)-2-[[5-[(6-aminopurin-9-yl)methyl]-2-oxo-1,4,2lambda5-dioxaphosphinan-2-yl]amino]pentanedioate",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
363648716,0.00095,1410507,404711551,142433105,NULL,29670705,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against thymidine kinase deficient Varicella-Zoster virus 07-1 assessed as inhibition of plaque formation measured after 5 days post-infection,pentyl (2S)-2-[[[(2S)-1-(6-aminopurin-9-yl)-3-hydroxypropan-2-yl]oxymethyl-[[(2S)-3-methyl-1-oxo-1-pentoxybutan-2-yl]amino]phosphoryl]amino]-3-methylbutanoate,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
100334216,0.001,217497,160692157,667554,NULL,10891113,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Effective concentration to show 50% of activity was measured on varicella zoster virus(VZV) cell culture,"5-[(E)-2-bromovinyl]-1-[(2S,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]pyrimidine-2,4-dione",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101698465,0.001,296672,103389810,493485,NULL,17622128,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against TK+ VZV YS in HEL cells assessed as reduction of virus plaque formation after 5 days,Unii-5xgi48Q2DH,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
101710811,0.001,299444,103535172,10239290,NULL,17513108,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against VZV in human foreskin fibroblast assessed as inhibition of virus plaque formation,"N-[(4-chlorophenyl)methyl]-2-[[[(2R)-2-hydroxy-2-pyridin-2-ylethyl]-methylamino]methyl]-3,4-dimethyl-7-oxothieno[3,2-b]pyridine-6-carboxamide",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
321577692,0.001,675210,160707046,136232617,NULL,22858222,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against thymidine kinase positive VZV YS infected in HEL cells by plaque formation assay,"2-amino-9-[[(5S)-2-(3-hexadecoxypropoxy)-2-oxo-1,4,2lambda5-dioxaphosphinan-5-yl]methyl]-1H-purin-6-one",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
101446238,0.0012,392537,103391699,3011378,NULL,19112024,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against Varicella zoster virus,"2-(2,6-Diamino-5-cyclopropyl-pyrimidin-4-yl)oxyethoxymethylphosphonic acid",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
363648558,0.0015,1410507,404713629,145991052,NULL,29670705,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against thymidine kinase deficient Varicella-Zoster virus 07-1 assessed as inhibition of plaque formation measured after 5 days post-infection,"pentyl (2S)-2-[[5-[(6-aminopurin-9-yl)methyl]-2-oxo-1,4,2lambda5-dioxaphosphinan-2-yl]amino]-3-methylbutanoate",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
363648715,0.0015,1410507,404706871,145986727,NULL,29670705,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against thymidine kinase deficient Varicella-Zoster virus 07-1 assessed as inhibition of plaque formation measured after 5 days post-infection,"dipentyl (2S)-2-[[5-[(6-aminopurin-9-yl)methyl]-2-oxo-1,4,2lambda5-dioxaphosphinan-2-yl]amino]butanedioate",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101437634,0.0016,415399,103389990,493484,NULL,19328697,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella Zoster virus Oka infected in HEL cells assessed as reduction in viral plaque formation after 5 days,"6-(4-butylphenyl)-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]furo[2,3-d]pyrimidin-2-one",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
321577811,0.0017,675212,160680244,136263937,NULL,22858222,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against thymidine kinase negative VZV 07/01 infected in HEL cells by plaque formation assay,[(2S)-1-(2-amino-6-oxo-1H-purin-9-yl)-3-hydroxypropan-2-yl]oxymethyl-(3-hexadecoxypropoxy)phosphinic acid,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
100708579,0.002,216465,242581925,493490,NULL,15109620,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against Varicella-Zoster virus (OKA),"3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-6-octyl-thieno[2,3-d]pyrimidin-2-one",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101710812,0.002,299444,103535141,44432250,NULL,17513108,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against VZV in human foreskin fibroblast assessed as inhibition of virus plaque formation,"N-[(4-chlorophenyl)methyl]-2-[[[(2R)-2-hydroxy-2-pyridin-2-ylethyl]-methylamino]methyl]-7-methyl-4-oxo-3a,7a-dihydrothieno[2,3-b]pyridine-5-carboxamide",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
101747282,0.002,307432,103549606,44440881,NULL,17434304,Confirmatory,20220830,0,0,Active,NULL,IC50,=,ChEMBL,Antiviral activity against VZV Webster in HFF cells by plaque reduction assay,"(R)-N-(3-chlorobenzyl)-2-(((2-hydroxy-2-(pyridin-2-yl)ethyl)(methyl)amino)methyl)-7-methyl-4-oxo-4,7-dihydrothieno[2,3-b]pyridine-5-carboxamide",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,128878,10335,NULL,NULL
100345805,0.0022,217659,103389990,493484,NULL,11150169,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,"Evaluated for the anti-VZV activity, the concentration of compounds in uM required to reduce VZV OKA Plaque formation after 5 days in HEL cell cultures compared to untreated controls.","6-(4-butylphenyl)-3-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]furo[2,3-d]pyrimidin-2-one",Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
321577699,0.0025,675210,160680244,136263937,NULL,22858222,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Antiviral activity against thymidine kinase positive VZV YS infected in HEL cells by plaque formation assay,[(2S)-1-(2-amino-6-oxo-1H-purin-9-yl)-3-hydroxypropan-2-yl]oxymethyl-(3-hexadecoxypropoxy)phosphinic acid,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,1,10335,NULL,NULL
100320206,0.003,216302,103202903,446727,NULL,10579812,Confirmatory,20220830,0,0,Active,NULL,EC50,=,ChEMBL,Compound was evaluated for the inhibition of VZV strains of OKA,Brivudine,Human alphaherpesvirus 3 (Varicella-zoster virus),/taxonomy/10335,NULL,NULL,NULL,NULL,10335,NULL,NULL
