CID,IUPACName,IsomericSMILES,MolecularFormula,MolecularWeight,HBondDonorCount,HBondAcceptorCount,Synonym
139316450,"methyl N-[2-[[6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-4-[(4-hydroxy-1-bicyclo[2.2.2]octanyl)amino]pyridine-3-carbonyl]amino]ethyl]carbamate",COC(=O)NCCNC(=O)C1=CN=C(C=C1NC23CCC(CC2)(CC3)O)C4=CC=C5N4N=CC(=C5)C#N,C26H29N7O4,503.6,4,8,"['SCHEMBL21162156', 'BDBM407802', 'US10336762, Compound 746', 'methyl (2-(6-(3-cyano- pyrrolo[1,2-b]pyridazin- 7-yl)-4-((4-hydroxy- bicyclo[2.2.2]octan-1- yl)amino)nicotinamido) ethyl)carbamate']"
139316414,"4-[[(3R)-1-azabicyclo[2.2.1]heptan-3-yl]amino]-6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1N[C@H]2CN3CCC2C3)C4=CC=C5N4N=CC(=C5)C#N)F)O,C25H28FN7O2,477.5,3,8,"['SCHEMBL21162090', 'BDBM407324', 'US10336762, Compound 266', '6-(3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-N-((R)-2- fluoro-3-hydroxy-3- methylbutyl)-4-(((R)- quinuclidin-3- yl)amino)nicotinamide']"
138704058,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-[(5-methylpyridin-3-yl)amino]pyridine-3-carboxamide",CC1=CC(=CN=C1)NC2=CC(=NC=C2C(=O)NC[C@H](C(C)(C)O)F)C3=CC=C4N3N=CC(=C4)C#N,C25H24FN7O2,473.5,3,8,"['SCHEMBL21080056', 'BDBM407292', 'US10336762, Compound 233', '(R)-6-(3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-N-(2-fluoro- 3-hydroxy-3-methylbutyl)- 4-((5-methylpyridin-3- yl)amino)nicotinamide']"
138703643,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N'-(2-hydroxy-2-methylpropanoyl)-4-(propan-2-ylamino)pyridine-3-carbohydrazide",CC(C)NC1=CC(=NC=C1C(=O)NNC(=O)C(C)(C)O)C2=CC=C3N2N=CC(=C3)C#N,C21H23N7O3,421.5,4,7,"['SCHEMBL21079621', 'BDBM407127', 'US10336762, Compound 66', ""6-(3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-N''-(2- hydroxy- 2-methylpropanoyl)- 4-(isopropylamino) nicotinohydrazide""]"
138704394,"4-[[3-[(bicyclo[1.1.1]pentane-1-carbonylamino)methyl]cyclobutyl]amino]-6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2CC(C2)CNC(=O)C34CC(C3)C4)C5=CC=C6N5N=CC(=C6)C#N)F)O,C30H34FN7O3,559.6,4,8,"['SCHEMBL21080411', 'SCHEMBL21161803', 'BDBM407992', 'US10336762, Compound 937', '4-(((1r,3R)-3-((bicyclo[1.1.1] pentane-1-carboxamido) methyl)cyclobutyl)amino)- 6-(3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-N-((R)-2- fluoro-3-hydroxy-3- methylbutyl)nicotinamide']"
138704354,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[2-(dimethylamino)-2-oxoethyl]-4-[(4-hydroxy-1-bicyclo[2.2.2]octanyl)amino]pyridine-3-carboxamide",CN(C)C(=O)CNC(=O)C1=CN=C(C=C1NC23CCC(CC2)(CC3)O)C4=CC=C5N4N=CC(=C5)C#N,C26H29N7O3,487.6,3,7,"['SCHEMBL21080370', 'BDBM407391', 'US10336762, Compound 333', '6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N-(2- (dimethylamino)-2-oxo- ethyl)-4-((4-hydroxy- bicyclo[2.2.2]octan-1- yl)amino)nicotinamide']"
138704341,"4-(4-cyano-3-methoxyanilino)-6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2=CC(=C(C=C2)C#N)OC)C3=CC=C4N3N=CC(=C4)C#N)F)O,C27H24FN7O3,513.5,3,9,"['SCHEMBL21080357', 'BDBM407669', 'US10336762, Compound 611', '(R)-4-((4-cyano-3-methoxy- phenyl)amino)-6-(3- cyanopyrrolo[1,2-b] pyridazin-7-yl)-N- (2-fluoro-3-hydroxy-3- methylbutyl)nicotinamide']"
138704236,"4-[4-(azetidine-1-carbonyl)anilino]-6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2=CC=C(C=C2)C(=O)N3CCC3)C4=CC=C5N4N=CC(=C5)C#N)F)O,C29H28FN7O3,541.6,3,8,"['SCHEMBL21080245', 'BDBM407407', 'US10336762, Compound 349', '(R)-4-((4-(azetidine-1- carbonyl)phenyl)amino)- 6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N- (2-fluoro-3-hydroxy-3- methylbutyl)nicotinamide']"
138704224,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-(1,3-thiazol-2-ylamino)pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2=NC=CS2)C3=CC=C4N3N=CC(=C4)C#N)F)O,C22H20FN7O2S,465.5,3,9,"['SCHEMBL21080233', 'BDBM407433', 'US10336762, Compound 375', '(R)-6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N-(2- fluoro-3-hydroxy-3- methylbutyl)-4-(thiazol-2- ylamino)nicotinamide']"
138704196,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-[[(3R)-1-(2,2,2-trifluoroethyl)pyrrolidin-3-yl]methylamino]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC[C@H]2CCN(C2)CC(F)(F)F)C3=CC=C4N3N=CC(=C4)C#N)F)O,C26H29F4N7O2,547.5,3,11,"['SCHEMBL21080199', 'QGOMAOSQZBOULS-WAIKUNEKSA-N', 'BDBM407956', 'US10336762, Compound 901', '6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N-((R)- 2-fluoro-3-hydroxy-3- methylbutyl)-4-((((R)-1- (2,2,2-trifluoroethyl) pyrrolidin-3-yl)methyl) amino)nicotinamide', '6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-((R)-2-fluoro-3-hydroxy-3-methylbutyl)-4-((((R)-1-(2,2,2-trifluoroethyl) pyrrolidin-3-yl)methyl) amino)nicotinamide']"
138704195,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[4-(cyclopropanecarbonylamino)cyclohexyl]-4-(2,3-dihydro-[1,4]dioxino[2,3-b]pyridin-7-ylamino)pyridine-3-carboxamide",C1CC1C(=O)NC2CCC(CC2)NC(=O)C3=CN=C(C=C3NC4=CC5=C(N=C4)OCCO5)C6=CC=C7N6N=CC(=C7)C#N,C31H30N8O4,578.6,3,9,"['SCHEMBL21080198', 'SCHEMBL21080200', 'BDBM407914', 'US10336762, Compound 858', '6-(3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-N-((1r,4r)-4- (cyclopropanecarboxamido) cyclohexyl)-4-((2,3-dihydro- [1,4]dioxino[2,3-b]pyridin- 7-yl)amino)nicotinamide']"
138704145,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-(8-oxabicyclo[3.2.1]octan-3-ylamino)pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2CC3CCC(C2)O3)C4=CC=C5N4N=CC(=C5)C#N)F)O,C26H29FN6O3,492.5,3,8,"['SCHEMBL21080146', 'BDBM407111', 'US10336762, Compound 50', '4-(8-oxabicyclo[3.2.1] octan-3-ylamino)-6-(3- cyanopyrrolo[1,2- b]pyridazin-7-yl)-N-((R)-2- fluoro-3- hydroxy-3-methylbutyl) nicotinamide']"
138704144,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-4-[[1-(difluoromethyl)pyrazol-4-yl]amino]-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2=CN(N=C2)C(F)F)C3=CC=C4N3N=CC(=C4)C#N)F)O,C23H21F3N8O2,498.5,3,10,"['SCHEMBL21080145', 'KBXFTINVBWYEIQ-HXUWFJFHSA-N', 'BDBM407109', 'US10336762, Compound 48', '(R)-6-(3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-4-((1- (difluoromethyl)- 1H-pyrazol-4-yl)amino)- N-(2-fluoro-3-hydroxy-3- methylbutyl)nicotinamide', '(R)-6-(3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-4-((1-(difluoromethyl)-1H-pyrazol-4-yl)amino)-N-(2-fluoro-3-hydroxy-3-methylbutyl)nicotinamide']"
138704419,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-[(4-hydroxycyclohexyl)amino]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2CCC(CC2)O)C3=CC=C4N3N=CC(=C4)C#N)F)O,C25H29FN6O3,480.5,4,8,"['SCHEMBL21080438', 'SCHEMBL21162095', 'SCHEMBL21162116', 'BDBM407494', 'BDBM407495', 'US10336762, Compound 436', 'US10336762, Compound 437', '6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N- ((R)-2-fluoro-3-hydroxy-3- methylbutyl)-4-(((1r,4R)-4- hydroxycyclohexyl)amino) nicotinamide', '6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N- ((R)-2-fluoro-3-hydroxy-3- methylbutyl)-4-(((1s,4S)-4- hydroxycyclohexyl)amino) nicotinamide']"
138703595,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-4-[3-(difluoromethoxy)anilino]-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]pyridine-3-carboxamide",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2=CC(=CC=C2)OC(F)F)C3=CC=C4N3N=CC(=C4)C#N)F)O,C26H23F3N6O3,524.5,3,10,"['SCHEMBL21079573', 'FQPXBZQANJLURV-HSZRJFAPSA-N', 'BDBM407276', 'US10336762, Compound 217', 'US10336762, Compound 608', '(R)-6-(3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-4-((5- (difluoromethoxy) pyridin-3-yl)amino)-N-(2- fluoro-3-hydroxy-3- methylbutyl)nicotinamide', '(R)-6-(3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-4-((5-(difluoromethoxy) pyridin-3-yl)amino)-N-(2-fluoro-3-hydroxy-3-methylbutyl)nicotinamide']"
138703597,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-4-[(1-ethyl-1,2,4-triazol-3-yl)amino]-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]pyridine-3-carboxamide",CCN1C=NC(=N1)NC2=CC(=NC=C2C(=O)NC[C@H](C(C)(C)O)F)C3=CC=C4N3N=CC(=C4)C#N,C23H24FN9O2,477.5,3,9,"['SCHEMBL21079575', 'BDBM407187', 'US10336762, Compound 128', '(R)-6-(3-cyanopyrrolo[1,2-b] pyridazin- 7-yl)-4-((1-ethyl-1H-1,2,4- triazol-3- yl)amino)-N-(2-fluoro-3- hydroxy-3- methylbutyl)nicotinamide']"
138703456,"methyl 6-[[2-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-5-[[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]carbamoyl]pyridin-4-yl]amino]-1-azaspiro[3.3]heptane-1-carboxylate",CC(C)([C@@H](CNC(=O)C1=CN=C(C=C1NC2CC3(C2)CCN3C(=O)OC)C4=CC=C5N4N=CC(=C5)C#N)F)O,C27H30FN7O4,535.6,3,9,"['SCHEMBL21079433', 'SCHEMBL21162162', 'BDBM407964', 'BDBM407967', 'US10336762, Compound 909', 'US10336762, Compound 912', '(4R,6s)-methyl 6-((2-(3- cyanopyrrolo[1,2-b] pyridazin-7-yl)-5- (((R)-2-fluoro-3-hydroxy-3- methylbutyl)carbamoyl) pyridin-4-yl)amino)-1- azaspiro[3.3]heptane-1- carboxylate', '(4S,6r)-methyl 6-((2-(3- cyanopyrrolo[1,2-b] pyridazin-7-yl)-5- (((R)-2-fluoro-3-hydroxy-3- methylbutyl)carbamoyl) pyridin-4-yl)amino)-1- azaspiro[3.3]heptane-1- carboxylate']"
138703899,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-4-(3-ethylsulfonylpropylamino)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]pyridine-3-carboxamide",CCS(=O)(=O)CCCNC1=CC(=NC=C1C(=O)NC[C@H](C(C)(C)O)F)C2=CC=C3N2N=CC(=C3)C#N,C24H29FN6O4S,516.6,3,9,"['SCHEMBL21079888', 'BDBM407497', 'US10336762, Compound 439', '(R)-6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-4-((3- (ethylsulfonyl)propyl) amino)-N-(2-fluoro-3- hydroxy-3-methylbutyl) nicotinamide']"
138703415,"4-(4-cyano-3-methylanilino)-6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]pyridine-3-carboxamide",CC1=C(C=CC(=C1)NC2=CC(=NC=C2C(=O)NC[C@H](C(C)(C)O)F)C3=CC=C4N3N=CC(=C4)C#N)C#N,C27H24FN7O2,497.5,3,8,"['SCHEMBL21079391', 'BDBM407641', 'US10336762, Compound 583', '(R)-4-((4-cyano-3- methylphenyl)amino)-6- (3-cyanopyrrolo[1,2-b] pyridazin-7-yl)-N- (2-fluoro-3-hydroxy-3- methylbutyl)nicotinamide']"
138703922,"6-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-N-[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]-4-[[4-[(3-methyloxetane-3-carbonyl)amino]cyclohexyl]amino]pyridine-3-carboxamide",CC1(COC1)C(=O)NC2CCC(CC2)NC3=CC(=NC=C3C(=O)NC[C@H](C(C)(C)O)F)C4=CC=C5N4N=CC(=C5)C#N,C30H36FN7O4,577.6,4,9,"['SCHEMBL21079911', 'SCHEMBL21161454', 'BDBM407340', 'US10336762, Compound 282', '6-(3-cyanopyrrolo[1,2- b]pyridazin-7-yl)-N- ((R)-2-fluoro-3-hydroxy- 3-methylbutyl)-4-(((1r,4R)- 4-(3-methyloxetane-3- carboxamido)cyclohexyl) amino)nicotinamide']"
139316303,"methyl N-[2-[4-[[2-(3-cyanopyrrolo[1,2-b]pyridazin-7-yl)-5-[[(2R)-2-fluoro-3-hydroxy-3-methylbutyl]carbamoyl]pyridin-4-yl]amino]phenyl]propan-2-yl]carbamate",CC(C)(C1=CC=C(C=C1)NC2=CC(=NC=C2C(=O)NC[C@H](C(C)(C)O)F)C3=CC=C4N3N=CC(=C4)C#N)NC(=O)OC,C30H32FN7O4,573.6,4,9,"['SCHEMBL21161937', 'BDBM407273', 'US10336762, Compound 214', '(R)-methyl(2-(4-((2-(3- cyanopyrrolo[1,2-b] pyridazin-7-yl)-5-((2- fluoro-3-hydroxy- 3-methylbutyl) carbamoyl)pyridin-4- yl)amino)phenyl)propan-2- yl)carbamate']"
