cid,Probability of not Antimicrobial,Probability of Antimicrobial
472634,0.5254189,0.4745811
472814,0.16917282,0.8308272
477849,0.76887184,0.23112816
477853,0.7825231,0.2174769
481081,0.43188852,0.5681115
481082,0.47948915,0.52051085
482505,0.70709044,0.29290956
482510,0.5244233,0.4755767
484807,0.058926344,0.94107366
484808,0.07849091,0.9215091
486177,0.50844395,0.49155602
488924,0.5118774,0.48812258
488949,0.85887897,0.14112104
490353,0.66616195,0.33383805
490392,0.8735904,0.1264096
490438,0.6615459,0.3384541
490440,0.4465648,0.5534352
490445,0.5669743,0.4330257
490621,0.26215333,0.7378467
490622,0.4728176,0.5271824
490623,0.26215333,0.7378467
490625,0.5564064,0.44359365
490626,0.5275804,0.4724196
490627,0.26669353,0.73330647
490628,0.28565812,0.7143419
491674,0.28397745,0.71602255
492116,0.49415147,0.5058485
492117,0.49415147,0.5058485
492555,0.87900287,0.120997116
492556,0.8719155,0.12808448
492559,0.4513442,0.5486558
493016,0.30013198,0.699868
493223,0.051193476,0.9488065
494096,0.28828627,0.71171373
494217,0.8259615,0.17403853
494284,0.71284443,0.28715557
494929,0.7951113,0.20488872
495169,0.96716785,0.032832164
495537,0.29007918,0.7099208
496020,0.95345193,0.04654809
496474,0.34442282,0.6555772
498018,0.44170177,0.55829823
502229,0.45146722,0.5485328
502232,0.2554006,0.7445994
503006,0.67682254,0.32317746
503007,0.6258621,0.3741379
503010,0.7177843,0.28221568
503011,0.656487,0.34351304
503813,0.4953919,0.5046081
504733,0.6471517,0.35284826
504734,0.64222264,0.35777736
504735,0.606402,0.39359802
504736,0.80902576,0.19097424
504737,0.60526335,0.39473662
504738,0.8420657,0.15793434
504740,0.4924788,0.5075212
504745,0.114388585,0.8856114
504747,0.15079391,0.8492061
504749,0.18832278,0.8116772
504751,0.098804116,0.9011959
506143,0.60430944,0.3956906
506145,0.5498172,0.45018283
507269,0.5191263,0.4808737
509519,0.68916404,0.31083593
509522,0.65072656,0.34927344
510982,0.4474182,0.5525818
511719,0.5410687,0.45893136
511720,0.40592456,0.59407544
511761,0.634641,0.365359
511763,0.5166523,0.4833477
511765,0.68504715,0.31495285
511854,0.80651444,0.19348556
511887,0.7391156,0.26088437
512128,0.31142157,0.6885784
512130,0.7698861,0.23011392
512131,0.25295722,0.7470428
512134,0.5424185,0.4575815
512135,0.22798294,0.77201706
512137,0.421758,0.578242
512725,0.24791777,0.7520822
513124,0.59587896,0.40412107
513206,0.48556507,0.51443493
513858,0.512718,0.48728198
515217,0.62114775,0.37885222
515218,0.62794447,0.37205553
515219,0.64271724,0.35728276
515221,0.65424967,0.3457503
539847,0.77029663,0.22970337
541545,0.5346324,0.46536762
584362,0.28324103,0.71675897
584546,0.5004271,0.49957287
595375,0.30117613,0.69882387
595711,0.37265366,0.62734634
604832,0.2610476,0.7389524
640874,0.30994862,0.6900514
644174,0.74454516,0.25545484
644264,0.7062632,0.29373682
672230,0.7866938,0.2133062
688019,0.3534879,0.6465121
688097,0.32048482,0.6795152
905903,0.769062,0.23093803
1268279,0.3550762,0.6449238
1277776,0.6362003,0.3637997
2305663,0.769062,0.23093803
2999329,0.378168,0.621832
3000242,0.6224214,0.37757862
3000303,0.6224214,0.37757862
3006169,0.071143925,0.9288561
3006926,0.9514703,0.048529692
3006931,0.93139577,0.06860423
3006961,0.32250303,0.67749697
3007066,0.9302122,0.06978781
3007124,0.83495516,0.16504486
3007125,0.7668315,0.23316847
3007127,0.8782822,0.12171779
3007128,0.73897135,0.26102868
3007129,0.75046796,0.24953206
3008139,0.30780423,0.6921958
3009857,0.51638603,0.483614
3009859,0.5148701,0.4851299
3010352,0.055369616,0.9446304
3010354,0.089423,0.910577
3010355,0.10410434,0.89589566
3010383,0.16366011,0.8363399
3010385,0.1305716,0.8694284
3010386,0.19712347,0.80287653
3010387,0.122739196,0.8772608
3010398,0.52663374,0.47336623
3010797,0.045585036,0.95441496
3010825,0.13344353,0.86655647
3011154,0.5297429,0.4702571
3011894,0.2760049,0.7239951
3011895,0.45692378,0.5430762
3011904,0.751116,0.24888402
3011905,0.5465269,0.45347312
3011924,0.053956866,0.94604313
3012046,0.64120924,0.35879079
3012550,0.8804364,0.11956359
3012551,0.76537323,0.23462677
3012563,0.900512,0.09948805
3012564,0.754926,0.24507399
3012586,0.5847454,0.4152546
3032355,0.48399156,0.51600844
3034638,0.46457845,0.53542155
3035490,0.70378095,0.29621905
3035929,0.75839245,0.24160755
3036587,0.08360696,0.91639304
3036899,0.7067399,0.2932601
3037046,0.52659047,0.4734095
3061100,0.5916294,0.40837058
3067878,0.6021652,0.39783475
3358362,0.55203986,0.44796014
3792400,0.6233839,0.3766161
3881219,0.47960585,0.52039415
4127885,0.57310766,0.42689234
4304654,0.7951113,0.20488872
4471889,0.70983374,0.2901663
4477522,0.87076825,0.12923175
4569866,0.4942311,0.5057689
4594140,0.8097447,0.1902553
4993488,0.6884059,0.31159416
5232177,0.7374872,0.26251277
5270502,0.6167776,0.3832224
5270503,0.41505432,0.5849457
5271016,0.67000914,0.32999086
5271018,0.47212368,0.5278763
5271782,0.31326425,0.68673575
5272655,0.59885883,0.4011412
5272658,0.31642026,0.68357974
5272659,0.32803637,0.67196363
5272665,0.6282184,0.37178156
5273004,0.21849656,0.78150344
5273008,0.7372863,0.2627137
5273013,0.36461836,0.63538164
5273014,0.67135507,0.32864493
5273015,0.5347768,0.46522316
5273016,0.6334862,0.3665138
5273018,0.908527,0.091472976
5273480,0.49534142,0.5046586
5273484,0.4729687,0.5270313
5273492,0.47444677,0.5255532
5273493,0.43661553,0.5633845
5273497,0.49715102,0.502849
5273505,0.4208498,0.5791502
5273510,0.24203914,0.75796086
5273512,0.1873703,0.8126297
5273514,0.34848505,0.65151495
5273516,0.43583918,0.5641608
5273524,0.7803469,0.21965314
5273527,0.50391495,0.49608502
5273934,0.5265306,0.4734694
5274310,0.4337315,0.5662685
5274345,0.96295154,0.037048463
5274366,0.62921035,0.37078962
5274367,0.75147027,0.24852973
5276734,0.6180985,0.38190147
5278277,0.31989306,0.68010694
5278278,0.31053966,0.68946034
5278282,0.4047116,0.5952884
5278546,0.46201867,0.53798133
5278547,0.37377566,0.62622434
5279426,0.40088284,0.59911716
5284425,0.736446,0.26355398
5287975,0.6859836,0.3140164
5289205,0.8930111,0.106988885
5289230,0.75366664,0.24633335
5289307,0.23382485,0.76617515
5343018,0.8677142,0.13228577
5343060,0.73309857,0.26690143
5702004,0.74454516,0.25545484
6320414,0.6668581,0.33314192
6325427,0.8043331,0.19566694
6334060,0.5363673,0.46363273
6335098,0.6748424,0.32515758
6419781,0.07657379,0.9234262
6426626,0.48190868,0.5180913
6438736,0.28822184,0.71177816
6451079,0.048419356,0.95158064
6478489,0.604869,0.39513102
6478491,0.39487588,0.6051241
6480471,0.6689073,0.3310927
6480473,0.62479997,0.37520003
6480510,0.47815418,0.5218458
6481604,0.33719432,0.6628057
6481827,0.73757803,0.26242194
6481828,0.7180152,0.28198478
6481834,0.5094676,0.49053237
6482482,0.48155928,0.5184407
6482628,0.28996295,0.71003705
6482630,0.39513767,0.60486233
6483432,0.2977448,0.7022552
6509777,0.0596568,0.9403432
6536767,0.5265306,0.4734694
6541377,0.2964812,0.7035188
6560187,0.5810878,0.4189122
6560303,0.618577,0.38142297
6560416,0.8012588,0.19874123
6561296,0.62963116,0.37036884
6565903,0.6551072,0.3448928
6566064,0.61541605,0.38458395
6575102,0.45855767,0.54144233
6595184,0.6406145,0.35938552
6595185,0.7556908,0.24430922
6595777,0.3377933,0.6622067
6602111,0.30494434,0.69505566
6602504,0.7561787,0.24382132
6603778,0.4533587,0.5466413
6603995,0.77866775,0.22133227
6610275,0.7868276,0.21317239
6779534,0.45992565,0.54007435
6857539,0.662099,0.33790103
6913097,0.7918824,0.2081176
6928544,0.6362003,0.3637997
7040251,0.74454516,0.25545484
7045516,0.59587896,0.40412107
7058183,0.5471302,0.4528698
7059421,0.75540155,0.24459843
7059448,0.4912575,0.5087425
7059449,0.48433357,0.5156664
7065210,0.35301858,0.6469814
7068779,0.55726296,0.44273704
7070208,0.3534879,0.6465121
7074916,0.5577842,0.44221583
7099911,0.61541605,0.38458395
7116198,0.62963116,0.37036884
7124539,0.6193011,0.3806989
7173845,0.40534592,0.5946541
7204908,0.58494055,0.41505942
7256363,0.55726296,0.44273704
7282386,0.6921649,0.3078351
7349522,0.72033364,0.27966636
7458588,0.5471302,0.4528698
7464989,0.73309857,0.26690143
7464993,0.73309857,0.26690143
9835398,0.3705833,0.6294167
9862222,0.042934,0.957066
9882803,0.25473315,0.74526685
9975088,0.7604425,0.23955753
9993207,0.45140493,0.5485951
10013690,0.6233839,0.3766161
10019125,0.13385147,0.86614853
10039594,0.29250896,0.70749104
10062690,0.63630986,0.36369017
10106291,0.6656669,0.33433312
10107793,0.25143147,0.74856853
10198304,0.5477545,0.45224547
10264873,0.6624483,0.3375517
10467227,0.63202554,0.36797446
10474045,0.43961805,0.56038195
10492996,0.48169678,0.5183032
10517504,0.359455,0.640545
10544814,0.2497651,0.7502349
10565387,0.3462742,0.6537258
10704791,0.2605458,0.7394542
10826877,0.6492747,0.35072526
10850803,0.35117877,0.64882123
10915407,0.7213237,0.27867624
10923602,0.7396052,0.26039484
10924111,0.65616053,0.34383947
10946143,0.3559246,0.6440754
11001059,0.75823927,0.24176076
11032790,0.8324382,0.16756183
11034553,0.27118832,0.7288117
11057044,0.2032659,0.7967341
11098172,0.34268177,0.65731823
11151034,0.56668085,0.43331915
11161826,0.70226586,0.2977341
11174347,0.52508587,0.47491413
11358266,0.19067752,0.8093225
11436669,0.9047046,0.09529544
11507479,0.7556908,0.24430922
11697484,0.24571043,0.75428957
11807674,0.7393769,0.2606231
11808175,0.70709044,0.29290956
11832583,0.51764816,0.48235184
11870684,0.45684993,0.54315007
11870685,0.45684993,0.54315007
11905990,0.5194699,0.48053008
12042143,0.2553473,0.7446527
12071879,0.4735263,0.5264737
12137955,0.6469815,0.35301852
12358318,0.7754646,0.22453539
12358319,0.7470993,0.2529007
12358322,0.7423959,0.25760412
12769724,0.6306485,0.3693515
12800104,0.75839245,0.24160755
12800105,0.7121304,0.2878696
12803301,0.32466972,0.6753303
12883711,0.6551072,0.3448928
12939902,0.3534879,0.6465121
12939904,0.74432015,0.25567988
13009730,0.60308504,0.39691493
13072931,0.40926892,0.5907311
13093729,0.4268704,0.5731296
13097160,0.5649282,0.43507186
13108018,0.3550762,0.6449238
13108042,0.095472574,0.9045274
13121583,0.68504715,0.31495285
13831573,0.5866524,0.41334757
13831580,0.46809506,0.53190494
13832606,0.6839794,0.31602064
13833089,0.94511586,0.054884136
13833646,0.5066025,0.49339744
13833648,0.5066025,0.49339744
13833767,0.60832095,0.39167908
13870936,0.75044143,0.24955854
13871052,0.73828983,0.2617102
13872084,0.52652764,0.47347236
13873706,0.47403604,0.52596396
13873708,0.769062,0.23093803
13965967,0.5692483,0.43075168
13989334,0.23383003,0.76616997
13993514,0.5477545,0.45224547
13994713,0.61721474,0.38278526
14102245,0.48216885,0.51783115
14162719,0.3052824,0.6947176
14184873,0.33463722,0.6653628
14185422,0.4088682,0.5911318
14191021,0.27315187,0.7268481
14237003,0.6448728,0.35512722
14308796,0.6015756,0.39842436
14330066,0.47001988,0.5299801
14409039,0.36537248,0.6346275
14410899,0.4620276,0.5379724
14410995,0.63970125,0.36029878
14430333,0.2592805,0.7407195
14430353,0.25620294,0.74379706
14430375,0.18364865,0.81635135
14485373,0.4601121,0.5398879
14485380,0.35578322,0.6442168
14541163,0.2347691,0.7652309
14730263,0.06814033,0.9318597
14731753,0.6743345,0.3256655
14806063,0.27409536,0.72590464
14806070,0.08238226,0.91761774
14860272,0.620383,0.379617
15118681,0.62449604,0.37550396
15168256,0.7618722,0.23812783
15410716,0.17068684,0.82931316
15573114,0.4533587,0.5466413
15573115,0.4533587,0.5466413
15612856,0.6350262,0.3649738
15612863,0.8948882,0.10511177
15742006,0.09196204,0.90803796
15886958,0.48433357,0.5156664
15926748,0.49462384,0.50537616
15953881,0.61753213,0.38246787
16076141,0.09851414,0.90148586
16076142,0.035444736,0.96455526
16078949,0.96408856,0.035911415
16129586,0.40926892,0.5907311
16728337,0.61682326,0.38317674
16747775,0.946305,0.053695038
16760678,0.6244514,0.3755486
17754151,0.23382485,0.76617515
18643544,0.5738927,0.42610732
21117413,0.822772,0.17722799
21124038,0.7490061,0.2509939
21139624,0.63549775,0.36450225
21139656,0.38890898,0.611091
21139659,0.37526155,0.62473845
21139829,0.6307812,0.3692188
21139907,0.60832095,0.39167908
21140106,0.07424343,0.9257566
21140290,0.15317959,0.8468204
21140332,0.5214547,0.47854528
21140410,0.4076416,0.5923584
21140443,0.6785164,0.3214836
21140449,0.6727426,0.3272574
21140461,0.6673223,0.33267772
21140467,0.083090305,0.9169097
21140478,0.57305086,0.42694914
21140573,0.3832001,0.6167999
21140595,0.6826618,0.31733826
21140717,0.51909184,0.48090816
21140809,0.7261137,0.27388635
21140827,0.18866569,0.8113343
21144431,0.20773649,0.7922635
21144622,0.045013428,0.9549866
21151277,0.10303265,0.89696735
21157388,0.4802664,0.5197336
21157436,0.1092599,0.8907401
21157804,0.6884059,0.31159416
21157833,0.11477858,0.8852214
21603711,0.43781972,0.5621803
21603712,0.4226247,0.5773753
21634250,0.26732785,0.73267215
21668258,0.6601486,0.3398514
21676639,0.5147645,0.4852355
21732848,0.45113218,0.5488678
21769748,0.5191735,0.48082653
21776949,0.4692636,0.5307364
21787858,0.70405746,0.29594257
21815879,0.31124645,0.68875355
21817403,0.95600635,0.043993656
21817596,0.61096144,0.38903856
21818173,0.22044307,0.77955693
21820463,0.7121304,0.2878696
21822369,0.72077984,0.27922016
21829242,0.17839152,0.8216085
21829243,0.10417473,0.89582527
21852781,0.33249593,0.6675041
21853094,0.15998143,0.8400186
21853097,0.17021072,0.8297893
21854257,0.27338815,0.72661185
21854428,0.48709548,0.5129045
21854430,0.34947646,0.65052354
21854431,0.33151037,0.66848963
21854434,0.27007383,0.72992617
21855041,0.8382224,0.16177759
21855711,0.24976969,0.7502303
21856241,0.722703,0.277297
22027846,0.25811082,0.7418892
22316435,0.48131126,0.51868874
22366141,0.46139383,0.53860617
22803666,0.75570464,0.24429536
22818440,0.47385067,0.52614933
22861745,0.8515538,0.14844617
22867782,0.64050347,0.35949653
22879197,0.77866775,0.22133227
23253577,0.15664333,0.84335667
23255305,0.5313002,0.46869984
23279550,0.74357605,0.25642398
23279551,0.7567185,0.24328147
23358719,0.82179487,0.17820515
23616027,0.4692636,0.5307364
23616817,0.3014692,0.6985308
23617998,0.61541605,0.38458395
23624100,0.59932077,0.40067926
23629091,0.3085662,0.6914338
23638944,0.6362003,0.3637997
23757287,0.17340869,0.8265913
23863209,0.7868276,0.21317239
24206417,0.3550762,0.6449238
24867261,0.4334507,0.5665493
24867483,0.39906502,0.600935
24906265,0.6244514,0.3755486
25030767,0.4474461,0.5525539
25074416,0.7247141,0.2752859
25182693,0.27216363,0.7278364
25201172,0.6362003,0.3637997
25231309,0.6834186,0.31658143
25232717,0.6514886,0.3485114
25880707,0.07657379,0.9234262
27191376,0.15351784,0.84648216
29982328,0.2553473,0.7446527
29982343,0.15351784,0.84648216
40467848,0.6362003,0.3637997
40467849,0.6362003,0.3637997
40467934,0.736446,0.26355398
40467994,0.7868276,0.21317239
40467995,0.7868276,0.21317239
40468020,0.40926892,0.5907311
40488632,0.4533587,0.5466413
40527693,0.769062,0.23093803
42552658,0.42715007,0.5728499
42553033,0.49508172,0.5049183
44150017,0.5846742,0.41532582
44266030,0.87573224,0.12426778
44308741,0.57577336,0.4242266
44308761,0.76408744,0.23591259
44331126,0.5797254,0.42027465
44331156,0.52049136,0.4795086
44356940,0.2553473,0.7446527
44378767,0.8606896,0.13931042
44386188,0.6306485,0.3693515
44396095,0.37320912,0.6267909
44398142,0.4533587,0.5466413
44451061,0.42241758,0.5775824
44451143,0.35418296,0.64581704
44563542,0.5228769,0.47712308
45033563,0.6551072,0.3448928
45038620,0.29918724,0.70081276
45039580,0.15351784,0.84648216
45039581,0.25866324,0.74133676
45039587,0.07657379,0.9234262
45052112,0.73606175,0.26393825
45357259,0.75540155,0.24459843
45357852,0.39578986,0.60421014
45358303,0.40534592,0.5946541
46741359,0.2730115,0.7269885
46781062,0.6748424,0.32515758
46781063,0.6282177,0.37178233
46783463,0.3534879,0.6465121
46874399,0.29918724,0.70081276
46874491,0.40534592,0.5946541
46875292,0.10541326,0.89458674
46875339,0.08257365,0.91742635
46875748,0.12701052,0.8729895
46876949,0.9637671,0.036232866
46936923,0.49248195,0.50751805
50987538,0.30339497,0.696605
50989564,0.532146,0.467854
50989698,0.086108744,0.91389126
50989994,0.5916294,0.40837058
51397494,0.736446,0.26355398
51414401,0.8366515,0.16334851
53462020,0.77548796,0.22451203
53463804,0.33846134,0.66153866
53796367,0.7868276,0.21317239
53869019,0.40926892,0.5907311
53908939,0.58932185,0.41067812
53962626,0.6249852,0.37501478
53965194,0.63549775,0.36450225
53968525,0.46136922,0.5386308
53985452,0.47403604,0.52596396
54041813,0.6004861,0.3995139
54068544,0.5160966,0.4839034
54101611,0.64385414,0.35614586
54101612,0.64385414,0.35614586
54123053,0.955093,0.044906974
54165040,0.75312304,0.24687694
54180064,0.3524661,0.6475339
54263300,0.6373266,0.36267337
54309519,0.62544423,0.37455577
54320536,0.22031957,0.77968043
54424807,0.7494023,0.25059775
54489690,0.81953734,0.18046267
54518623,0.43949437,0.5605056
54669720,0.40926892,0.5907311
56983870,0.73757803,0.26242194
56987376,0.21138108,0.7886189
56992563,0.7754646,0.22453539
57061669,0.8324382,0.16756183
57105083,0.5162735,0.4837265
57200553,0.5577842,0.44221583
57216635,0.42648834,0.57351166
57324057,0.52746487,0.47253513
57346774,0.4176581,0.5823419
57368267,0.38413876,0.61586124
57368268,0.26998508,0.7300149
57375625,0.7361741,0.26382586
57377074,0.7082678,0.2917322
57398955,0.62507784,0.37492213
57614974,0.48433357,0.5156664
58451159,0.44921517,0.5507848
58478862,0.57318693,0.42681307
58521221,0.722703,0.277297
58834006,0.7121304,0.2878696
58834035,0.75839245,0.24160755
59035028,0.30794847,0.69205153
59048458,0.2519871,0.7480129
59731278,0.6362003,0.3637997
59783293,0.68650055,0.31349945
66524133,0.6055904,0.3944096
66686600,0.5867504,0.41324958
67394311,0.59074867,0.40925133
67785972,0.36311716,0.63688284
68197667,0.40926892,0.5907311
68661802,0.61465037,0.38534963
69626062,0.36721188,0.6327881
69626224,0.29697752,0.7030225
69726377,0.7886758,0.21132423
69908761,0.59357333,0.40642667
70798618,0.30080962,0.6991904
70889269,0.74454516,0.25545484
71262374,0.064680874,0.9353191
71305626,0.29918724,0.70081276
71313037,0.71914685,0.28085315
71316009,0.8385463,0.16145371
71337875,0.4149531,0.5850469
71339247,0.65714055,0.34285945
71340337,0.75963134,0.24036865
71341063,0.36311716,0.63688284
71342993,0.403166,0.596834
71346314,0.7449919,0.25500813
71352264,0.65714055,0.34285945
71374323,0.70270634,0.29729363
71407380,0.65932184,0.34067816
71431122,0.28978974,0.71021026
71776864,0.72794294,0.27205703
71832128,0.49508172,0.5049183
72212335,0.2584678,0.7415322
72212336,0.14020288,0.8597971
72212339,0.48148853,0.5185115
72212535,0.6707324,0.32926762
73116931,0.6665215,0.3334785
73353418,0.14077383,0.85922617
73442717,0.3664466,0.6335534
76845819,0.6923446,0.3076554
77068305,0.47469532,0.5253047
86309091,0.4079923,0.5920077
86309292,0.4079923,0.5920077
86751121,0.7089617,0.29103827
87824027,0.24222958,0.7577704
87825371,0.46195978,0.5380402
88101259,0.18557602,0.814424
90472725,0.74349344,0.25650653
90488943,0.30494434,0.69505566
90673985,0.63130796,0.36869207
91810866,0.3550762,0.6449238
91926387,0.16379327,0.83620673
92021270,0.06454247,0.9354575
92021816,0.30080962,0.6991904
92024153,0.9133906,0.08660943
92131953,0.8324382,0.16756183
92131994,0.6170272,0.38297278
92132092,0.47334063,0.52665937
92132157,0.30494434,0.69505566
92132205,0.15351784,0.84648216
92132221,0.77231383,0.2276862
92132405,0.29697752,0.7030225
92143143,0.78301215,0.21698783
92150012,0.4442296,0.5557704
92151285,0.28397745,0.71602255
92156037,0.48544347,0.5145565
92159758,0.62200916,0.37799087
92161689,0.6743345,0.3256655
92202036,0.7177843,0.28221568
92209900,0.12701052,0.8729895
92209902,0.4692636,0.5307364
92209904,0.4692636,0.5307364
92221126,0.6748424,0.32515758
92221397,0.6621539,0.3378461
92221399,0.6621539,0.3378461
92223676,0.3014692,0.6985308
92228414,0.075038075,0.9249619
92228448,0.48716795,0.51283205
92229496,0.80146384,0.19853619
92230795,0.31680524,0.68319476
92231357,0.44742543,0.5525746
92231360,0.5808593,0.41914073
92231367,0.27320224,0.72679776
92231374,0.7886758,0.21132423
92233339,0.8324382,0.16756183
92233554,0.46384102,0.536159
92233558,0.29918724,0.70081276
92233562,0.62119997,0.37880003
92233963,0.6469815,0.35301852
92234642,0.34207004,0.65792996
92236135,0.6711929,0.32880715
92236322,0.7177843,0.28221568
92236327,0.57310766,0.42689234
92236348,0.62568486,0.37431514
92236361,0.4733324,0.5266676
92236367,0.5740406,0.4259594
92236370,0.5740406,0.4259594
92236430,0.5018451,0.4981549
92236502,0.4851576,0.5148424
92236504,0.4851576,0.5148424
92236583,0.4084702,0.5915298
92236585,0.4084702,0.5915298
92237060,0.108930945,0.89106905
92237642,0.578899,0.42110094
92238006,0.79625964,0.20374037
92241033,0.7102318,0.28976825
92242762,0.52114373,0.47885627
92242775,0.071143925,0.9288561
92243772,0.22044307,0.77955693
92243924,0.10831827,0.89168173
92243975,0.08803666,0.91196334
92244157,0.514074,0.48592597
92244181,0.5775409,0.4224591
92245372,0.64733714,0.35266286
92245374,0.52426445,0.47573552
92245928,0.8012043,0.19879569
92246004,0.15739244,0.84260756
92246571,0.08257365,0.91742635
92247166,0.71575665,0.28424335
92247204,0.243456,0.756544
92247230,0.6727426,0.3272574
92249433,0.25143147,0.74856853
92252780,0.6493725,0.35062748
92253113,0.6170946,0.38290542
92258080,0.57305086,0.42694914
92262454,0.8491254,0.15087458
92262718,0.84620094,0.15379903
92263388,0.51909184,0.48090816
92264741,0.33529586,0.66470414
92264929,0.5424185,0.4575815
92265647,0.5920535,0.40794653
92265999,0.6447822,0.3552178
92266557,0.46106142,0.5389386
92270653,0.52702314,0.47297686
92301827,0.28996295,0.71003705
92339825,0.418117,0.581883
92450064,0.9385594,0.061440565
92845691,0.2553473,0.7446527
92846012,0.4692636,0.5307364
93055319,0.6306485,0.3693515
93515751,0.29877537,0.7012246
93604123,0.2553473,0.7446527
94001662,0.3550762,0.6449238
