baid,activity,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,protacxn,acname,acqualifier,acvalue,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxid,cellids,targettaxid
63471874,Active,1852,14719117,9549141,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"3-Phenyl-9,10-phenanthrenedione",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471875,Active,1852,14720488,979629,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,2-Methoxy-N-{4-[4-(morpholine-4-sulfonyl)-phenyl]-thiazol-2-yl}-benzamide,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471876,Active,1852,14720558,135464648,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"6-Hexyl-7-hydroxy-3-[5-(3,4,5-trimethoxy-phenyl)-[1,3,4]oxadiazol-2-yl]-chromen-2-one",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471880,Active,1852,14738857,2953526,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,2-(4-chloro-5-{[4-(4-fluorophenyl)-1-piperazinyl]sulfonyl}-2-methylphenoxy)-N-cyclohexylacetamide,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471881,Active,1852,14741966,3816369,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"3-Benzoyl-2-methyl-naphtho[1,2-b]furan-4,5-dione",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471882,Active,1852,14747145,2303897,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"8-(2,4-Dinitrophenyl)sulfanylquinoline",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471884,Active,1852,17387029,6284238,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,N-{3-[3-(5-bromo-2-methoxyphenyl)acryloyl]phenyl}propanamide,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471886,Active,1852,17402822,1474462,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"[4,5-dichloro-6-oxo-1(6H)-pyridazinyl]methyl 4-fluorobenzenecarboxylate",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471887,Active,1852,17407185,1009439,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,Methyl 4-cyano-3-methyl-5-{[(2-phenyl-4-quinolinyl)carbonyl]amino}-2-thiophenecarboxylate,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471956,Active,1852,17504970,1015244,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2-(4-bromo-2-chlorophenoxy)-N-(2,3-dihydro-1H-indol-1-ylcarbonothioyl)acetamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471959,Active,1852,17507644,5719932,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"4,6-Dimethyl-3-(3-naphthalen-1-yl-acryloyl)-1H-pyridin-2-one",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471962,Active,1852,17513610,2856094,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,2-Benzyloxycarbonylamino-propionic acid 6-chloro-2-oxo-4-phenyl-2H-chromen-7-yl ester,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471966,Active,1852,22404682,1225439,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"N-(3-chlorophenyl)-N'-(4-methyl-1,3-thiazol-2-yl)thiourea",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471968,Active,1852,22410713,15945382,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"N-[4-[(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]phenyl]-4-methylbenzenesulfonamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471969,Active,1852,22410950,3912810,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"1-(2,5-Dimethylphenyl)-3-[2-[(2,4-dimethylphenyl)sulfamoyl]-4-nitroanilino]thiourea",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471971,Active,1852,22415659,883348,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,1-(3-nitrobenzyl)-1H-indole-3-carbaldehyde,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471975,Active,1852,24786911,135460558,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2-amino-3-[(4-bromophenyl)diazenyl]-7-phenylpyrazolo[1,5-a]pyrimidin-5(4H)-one",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63471976,Active,1852,24788030,5410471,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,2-({3-Nitrophenyl}hydrazono)-3-(4-methoxyphenyl)-3-oxopropanenitrile,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472063,Active,1852,24801849,1163750,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,Cambridge id 6798408,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472067,Active,1852,24804543,12871037,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,CID 12871037,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472069,Active,1852,24809170,4879303,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2-Imino-5-methyl-3-[5-[(4-methylphenyl)methyl]-1,3-thiazol-2-yl]-1,3-thiazolidin-4-one",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472070,Active,1852,24810108,773605,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"1-(4-Fluorophenyl)-3-(1,3-thiazol-2-yl)thiourea",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472071,Active,1852,24811360,46495021,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"3,5-dinitro-N'-[(1E)-pyridin-2-ylmethylene]benzohydrazide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472072,Active,1852,24815303,4559429,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"(3Z)-1-allyl-1H-indole-2,3-dione 3-[N-(2-fluorophenyl)thiosemicarbazone]",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472073,Active,1852,24823007,5953874,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"(5Z)-5-(2-furylmethylene)-2-imino-3-(1,3-thiazol-2-yl)-1,3-thiazolidin-4-one",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472074,Active,1852,24823143,1271299,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"1,1,4,4-tetraoxo-N,6-diphenyl-2,3-dihydro-1,4-dithiine-5-carboxamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472077,Active,1852,24828408,2560490,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2-chloro-N-[3-cyano-4,5-dimethyl-1-(thien-2-ylmethyl)-1H-pyrrol-2-yl]acetamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472078,Active,1852,24831665,5258493,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2-[2-[2,5-Dimethyl-1-(oxolan-2-ylmethyl)pyrrol-3-yl]-2-oxoethyl]sulfanyl-3-methylquinazolin-4-one",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472080,Active,1852,26659743,3996952,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"methyl 2-[(4E)-4-(1-anilinoethylidene)-1-(1,3-benzothiazol-2-yl)-5-oxopyrazol-3-yl]acetate",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472081,Active,1852,26661530,16682221,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,1-Decyl-1H-pyridin-4-ylideneamine,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472082,Active,1852,26661980,818739,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,N-(1-acetylindol-3-yl)-2-chloro-N-phenylacetamide,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472083,Active,1852,26662297,6887818,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,2-(4-bromophenyl)-N'-[(E)-pyridin-2-ylmethylidene]quinoline-4-carbohydrazide,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472084,Active,1852,26664788,289159,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,Benz[h]isoquinolin-6-amine,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472086,Active,1852,26726874,2815176,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2-[2-(4-Methylphenyl)-2-oxoethyl]-1,1-dioxo-1,2-benzothiazol-3-one",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472087,Active,1852,26726875,2815175,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2-[2-(3,4-dihydro-2H-1,5-benzodioxepin-7-yl)-2-oxoethyl]-1,1-dioxo-1,2-benzothiazol-3-one",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472130,Active,1852,26729414,2808491,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"N-(3,4-dichlorophenyl)-4-(7-methylthieno[3,2-d]pyrimidin-4-yl)piperazine-1-carboxamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472134,Active,1852,47204644,843242,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,1-Ethyl-4-(mesitylsulfonyl)piperazine,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472135,Active,1852,49640686,739812,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,2-Methyl-4-nitro-2H-pyrazole-3-carboxylic acid (3-chloro-phenyl)-amide,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472138,Active,1852,49647287,1752837,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,3-[7-[(2-Bromophenyl)methoxy]-4-methyl-2-oxochromen-3-yl]propanoic acid,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472140,Active,1852,4255968,1234088,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"6-(2-Phenylethyl)-3-(4-pyridinyl)[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472141,Active,1852,4257793,1246120,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2,6-difluoro-N-4-pyridinylbenzamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472144,Active,1852,7966905,726503,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"5-chloro-7-(3,4-dihydro-1H-isoquinolin-2-ylmethyl)quinolin-8-ol",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472145,Active,1852,7969379,1492379,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,N-{1-[2-(4-chlorophenoxy)ethyl]-1H-benzimidazol-2-yl}furan-2-carboxamide,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472146,Active,1852,14722452,1099239,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"4-[4-(diethylsulfamoyl)phenoxy]-N,N-diethylbenzenesulfonamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472150,Active,1852,14725996,892463,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"3-amino-4-(4-methylphenyl)-6,7-dihydro-5H-cyclopenta[b]thieno[3,2-e]pyridine-2-carboxamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472154,Active,1852,14731075,5715188,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,Nexinhib20,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472155,Active,1852,14732463,1046630,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"3-(3,4-Dimethoxybenzoyl)-2-(trifluoromethyl)naphtho[2,3-b]furan-4,9-dione",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472219,Active,1852,14734068,1325905,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,4-chloro-N-{3-[4-(2-fluorophenyl)-1-piperazinyl]-2-quinoxalinyl}benzenesulfonamide,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472220,Active,1852,14736125,5736472,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,3-(3-hydroxypropyl)-2-[2-(5-nitro-2-furyl)vinyl]-4(3H)-quinazolinone,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472221,Active,1852,14736776,2841620,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"Ethyl 3-(4-methylbenzyl)-1,4-dioxo-1,4-dihydro-2-naphthalenecarboxylate",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472224,Active,1852,16953382,11834461,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,(NE)-N-[3-(5-chloro-2-methylanilino)-4-oxo-1-naphthalenylidene]-2-thiophenesulfonamide,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472225,Active,1852,17403351,11957314,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,4-Nonyl-benzo[f]quinolinium,TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472227,Active,1852,17410269,5102346,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2-[(2-{[(4-methylphenyl)sulfonyl]amino}phenyl)sulfanyl]-N-[5-(trifluoromethyl)-1,3,4-thiadiazol-2-yl]acetamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472230,Active,1852,17411758,1717227,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"5-[2-Hydroxy-5-(phenyldiazenyl)benzylidene]-3-methyl-2-thioxo-1,3-thiazolidin-4-one",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472233,Active,1852,17433901,1587345,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"4-Methyl-2,6-bis(3-pyridinylmethylene)cyclohexanone",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472235,Active,1852,17510946,5791766,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2,4,5-trimethyl-N-[(1Z)-4-oxo-3-(1H-1,2,4-triazol-3-ylthio)naphthalen-1(4H)-ylidene]benzenesulfonamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472236,Active,1852,17514252,3294285,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"Isopropyl 2-(4-{[(2,4-dimethylphenyl)sulfonyl]amino}-1-hydroxy-2-naphthyl)-4,4,4-trifluoro-3-oxobutanoate",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472237,Active,1852,17514622,2142309,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2-methyl-4,9-dioxo-N-(pyridin-3-ylmethyl)-4,9-dihydronaphtho[2,3-b]furan-3-carboxamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472238,Active,1852,17516558,4883642,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"2-Imino-3-[5-(4-methylbenzyl)-1,3-thiazol-2-yl]-5-phenyl-1,3-thiazolidin-4-one",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472244,Active,1852,22410421,4162891,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"N-[4-(4-methoxyphenyl)-1,3-thiazol-2-yl]-2-[(4-methylphenyl)sulfonylamino]benzamide",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
63472310,Active,1852,22414617,993327,7124,NULL,Other,20101230,0,0,NP_000585,NULL,NULL,NULL,Burnham Center for Chemical Genomics,HTS assay for identification of inhibitors of TNF-a-specific NF-kB induction,"5-(4-Methoxyanilino)-2-[(2-methoxyphenoxy)methyl]-1,3-oxazole-4-carbonitrile",TNF - tumor necrosis factor (human),/gene/7124,NULL,P01375,9606,NULL,NULL
